category,type,content,options,answer,explanation,difficulty
通信原理,多选,正弦波调制中的数字调制包含（　）。,A.标准调幅AM$B.双边带调制DSB$C.增量调制△M$D.差分脉码调制DPCM,AB,"AM和DSB都是以高频正弦波作为载波，利用信号去改变正弦载波的幅度，属于连续波调制（正弦波调制）范畴。增量调制△M和差分脉码调制DPCM是波形编码技术，属于基带编码或脉冲调制，不涉及使用正弦波作为载波进行频谱搬移。",3
通信原理,多选,通常将信道中传输模拟信号的通信系统称为（　）；将信道中传输数字信号的通信系统称为（　）。,A.模拟通信系统$B.数字通信系统$C.模拟信号系统$D.数字信号系统,AB,"按信道中实际传输的信号类型为系统定性：传输模拟信号称为模拟通信系统（如AM/FM广播、老式电话），传输数字信号称为数字通信系统（如4G/5G、Wi-Fi）。C和D是生造的非标准词汇，专业术语中使用「通信系统」指包含信源、发送设备、信道、接收设备和信宿的端到端架构。",2
通信原理,多选,下列各项不属于数字基带传输系统组成部分的是（　）。,A.发送滤波器$B.卷积$C.解调器$D.接收滤波器,BC,"数字基带传输系统由信道信号形成器（发送滤波器）、信道、接收滤波器、抽样判决器组成。A和D明确属于基带传输系统部件。解调器是频带传输系统的专属部件，基带传输没有调制解调环节；卷积只是数学运算或编码方式，不是硬件模块。",3
通信原理,多选,模拟调制不包括以下哪种调制？（　）,A.基带调制$B.频带调制$C.幅度调制$D.角度调制,AB,"模拟调制是指用连续模拟基带信号控制高频正弦载波的参数，严格分为幅度调制（AM/DSB/SSB等）和角度调制（FM/PM）两大门类。基带调制不涉及高频载波频谱搬移，不属于传统模拟载波调制；频带调制是宏观传输概念，不仅包含模拟调制还包含数字调制家族（ASK/FSK等），不能降级算作模拟调制的子类。",3
通信原理,多选,信号可分为（　）。,A.确知信号$B.随机信号$C.能量信号$D.周期信号,ABCD,"信号按不同标准有多种分类：按确定性分为确知信号和随机信号；按能量特性分为能量信号和功率信号；按周期性分为周期信号和非周期信号。A、B、C、D均属于信号的不同分类维度。",2
通信原理,多选,在AM调制中，要求M0+M(t)（　）0，否则经过调制，会使包络失真。,A.大于$B.等于$C.小于$D.不等于,AB,"AM信号要能通过包络检波无失真解调，已调信号包络必须始终保持非负。如果小于0，载波发生相位反转（过调幅），包络检波器无法识别相位变化导致折叠失真。工程中通常要求严格大于0，理论临界条件下等于0也是不失真的边界。",4
通信原理,多选,下列说法正确的是（　）。,A.数字通信系统的可靠性指标有误码率$B.数字通信系统的可靠性指标有误信率$C.模拟通信系统可采用的一种复用方式为时分复用$D.数字通信系统可采用的一种复用方式为频分复用,AB,"数字通信系统可靠性用差错率衡量，包括误码率和误信率。FDM是模拟通信最典型的复用方式，TDM是数字通信最典型的复用方式——选项C和D属于张冠李戴，不是对应系统最典型或专属的特征。",3
通信原理,多选,关于信道的表述，下列表述正确的是（　）。,A.信道是发射端和接收端之间的介质$B.信道分为有线信道和无线信道$C.信道内不含干扰和噪声$D.信道可有可无,AB,"信道是通信系统必不可少的组成部分，是连接收发端传输信号的媒介。按物理性质分为有线信道（光纤、双绞线、同轴电缆）和无线信道（电磁波自由传播）。信道并非完美，信号传输中不可避免地受到噪声、干扰和衰减影响。任何通信系统都由发送设备、信道、接收设备三部分组成，信道不可缺少。",2
通信原理,多选,残留边带调制是位于（　）之间的一种折中的调制方式。,A.SSB$B.DSB$C.DCB$D.VSB,AB,"VSB是介于DSB（双边带）和SSB（单边带）之间的折中调制方式。DSB频带利用率低（带宽为基带两倍），SSB最省带宽但对滤波器要求极高难以实现，VSB保留部分边带使滤波器易制作且带宽比DSB省。VSB最经典应用是早期模拟电视广播。DCB不是标准调制方式。",3
通信原理,多选,数字调制通常称为数字键控，数字键控方式有（　）。,A.ASK$B.FSK$C.PSK$D.MSK,ABC,"数字调制的核心是用离散数字信号控制高频载波参数。根据被控参数不同，三种基础方式为：ASK（幅移键控，改变幅度）、FSK（频移键控，改变频率）、PSK（相移键控，改变相位）。MSK是FSK的改进型（控制相位连续性优化频谱），属进阶衍生方式，不属于最基础的三大数字键控。",2
